Referencia;Modelo;Tanque prelavado (l);Tanque primer lavado (l);Tanque segundo lavado (l);Tanque lavado principal (l);Produccion cestas/h maxima;Consumo l/h maximo;Gama
18007343;WRC-W1;0;0;0;105;120;160;WRC
18007345;WRC-SPW1;28;0;0;105;210;270;WRC
18007348;WRC-CPW1;28;0;0;105;210;270;WRC
18007500;WRC-W2;0;0;0;105;160;200;WRC
18007504;WRC-SPW2;28;0;0;105;270;320;WRC
18007508;WRC-CPW2;28;0;0;105;270;320;WRC
18007512;WRC-W3;0;0;0;105;200;160;WRC
18007516;WRC-SPW3;28;0;0;105;270;220;WRC
18007524;WRC-CPW3;28;0;0;105;270;220;WRC
18007520;WRC-LPW3;105;0;0;105;300;240;WRC
18007529;WRA-SPW4;28;0;0;105;270;160;WRA
18007544;WRA-CPW4;28;0;0;105;270;160;WRA
18007533;WRA-LPW4;105;0;0;105;300;200;WRA
18007541;WRA-SP2W4;28;105;0;105;320;210;WRA
CCO-120;CCO-120;0;0;0;50;120;210;CCO
CCO-160;CCO-160;0;0;0;50;160;240;CCO
CCO-180;CCO-180;0;0;0;100;180;210;CCO
CCO-225;CCO-225;60;0;0;100;225;210;CCO
CCO-270;CCO-270;100;0;0;100;270;240;CCO
CCO-320;CCO-320;60;100;0;100;320;240;CCO
